timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670793219212,109,Delete Request,200,OK,Endurance Test 1-17,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,109,0,0
1670793219322,108,Get by ID Request,200,OK,Endurance Test 1-17,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,108,0,0
1670793219430,114,Put Request,200,OK,Endurance Test 1-17,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,114,0,0
1670793219545,115,Post Request,200,OK,Endurance Test 1-17,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,115,0,0
1670793220641,489,Gets all users,200,OK,Endurance Test 1-18,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,489,0,371
1670793221131,111,Delete Request,200,OK,Endurance Test 1-18,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793221243,112,Get by ID Request,200,OK,Endurance Test 1-18,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793221355,112,Put Request,200,OK,Endurance Test 1-18,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,112,0,0
1670793221467,109,Post Request,200,OK,Endurance Test 1-18,text,true,,262,260,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,109,0,0
1670793222637,493,Gets all users,200,OK,Endurance Test 1-19,text,true,,784,176,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users,493,0,365
1670793223131,111,Delete Request,200,OK,Endurance Test 1-19,,true,,211,264,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
1670793223242,117,Get by ID Request,200,OK,Endurance Test 1-19,text,true,,310,178,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,117,0,0
1670793223359,111,Put Request,200,OK,Endurance Test 1-19,text,true,,262,261,1,1,https://myapptypepro3-apps.azurewebsites.net/api/Users/1,111,0,0
